parameter_name,long_name,classification,classification_confidence,classification_reasoning,value_type,value_details,defined_by_extensions,defined_by_summary,has_requirements,num_csr_references,csr_names,spec_file,spec_line,spec_score,spec_is_normative,spec_in_note,spec_text,description
MSTATEEN_JVT_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'mstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Smstateen, Zcmt",ext:Zcmt AND ext:Smstateen(~> 1.0),False,0,,zc.adoc,2341,4,True,False,"[#norm:Zcmt_entry_sz]#The base of the table is in the jvt CSR (see <<csrs-jvt>>), each table entry is XLEN bits.#","Behavior of the mstateen0.JVT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
MSTATUS_FS_LEGAL_VALUES,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of mstatus.FS,set,"subset of [0, 1, 2, 3]","F, S",(ext:F OR ext:S),True,3,mstatus,machine.adoc,679,11,True,False,"[#norm:mstatus_mstatush_xbe_warl]#The MBE, SBE, and UBE bits in `mstatus` and `mstatush` are *WARL* fields# that",The set of values that mstatus.FS supports.
MSTATUS_TVM_IMPLEMENTED,TODO,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",S,ext:S,False,2,mstatus,hypervisor.adoc,999,12,True,False,"addresses. [#norm:hgatp_tvm_illegal]#When `mstatus`.TVM=1, attempts to read or write `hgatp` while","Whether or not mstatus.TVM is implemented.

When not implemented mstatus.TVM will be read-only-zero."
MSTATUS_VS_LEGAL_VALUES,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of mstatus.VS,set,"subset of [0, 1, 2, 3]","S, V",(ext:V OR ext:S),True,3,mstatus,machine.adoc,679,11,True,False,"[#norm:mstatus_mstatush_xbe_warl]#The MBE, SBE, and UBE bits in `mstatus` and `mstatush` are *WARL* fields# that",The set of values that mstatus.VS will accept from a software write.
MTVAL_WIDTH,Width of the `mtval` CSR,NORM_DIRECT,medium,Trap value reporting parameter,conditional,2 conditional branches,Sm,ext:Sm,True,0,,hypervisor.adoc,25,6,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","The number of implemented bits in the `mtval` CSR.
This is the CSR that may be written when a trap is taken into M-mode with exception-specific information to
assist software in handling the trap (e.g., address associated with exception).

Must be greater than or equal to _max_(`PHYS_ADDR_WIDTH`, `V"
MTVEC_ACCESS,Acess type of the `mtvec` CSR (read-only or read-write).,NORM_CSR_RW,high,Controls type (RO/RW) of mtvec.BASE,binary,"choices: ['ro', 'rw']",Sm,ext:Sm,False,2,mtvec,machine.adoc,1209,17,True,False,[#norm:mtvec_sz_warl_acc]#The `mtvec` register is an MXLEN-bit *WARL* read/write register that holds,"Options:

  ro::
    `mtvec` is read-only.

  rw::
    `mtvec` is read-write, but may not accept all values."
MTVEC_BASE_ALIGNMENT_DIRECT,Minumum alignment of `mtvec.BASE` when `mtvec.MODE` is 0 (direct),NORM_CSR_WARL,low,"Name pattern suggests CSR 'mtvec' association, but no IDL cross-reference found",conditional,2 conditional branches,Sm,"ext:Sm AND {'param': {'allOf': [{'name': 'MTVEC_MODES', 'includes': 0, 'reason': 'Only rele",False,0,,machine.adoc,1209,6,True,False,[#norm:mtvec_sz_warl_acc]#The `mtvec` register is an MXLEN-bit *WARL* read/write register that holds,"Minimum alignment of the base pointer. Because `mtvec` excludes the two least-significant bits of
the base, the minimum alignment cannot be less than 4."
MTVEC_BASE_ALIGNMENT_VECTORED,Minumum alignment of `mtvec.BASE` when `mtvec.MODE` is 1 (vectored),NORM_CSR_WARL,low,"Name pattern suggests CSR 'mtvec' association, but no IDL cross-reference found",conditional,2 conditional branches,Sm,"ext:Sm AND {'param': {'allOf': [{'name': 'MTVEC_MODES', 'includes': 1, 'reason': 'Only rele",False,0,,priv-preface.adoc,540,7,False,False,* Optional vectored interrupt support has been added to the `mtvec` and,"Because `mtvec` excludes the two least-significant bits of
the base, the minimum alignment cannot be less than 4."
MTVEC_ILLEGAL_WRITE_BEHAVIOR,What happens when `mtvec` is written with an illegal value,NORM_CSR_WARL,high,Referenced in sw_write() of mtvec.BASE,binary,"choices: ['retain', 'custom']",Sm,ext:Sm,False,2,mtvec,machine.adoc,1209,18,True,False,[#norm:mtvec_sz_warl_acc]#The `mtvec` register is an MXLEN-bit *WARL* read/write register that holds,"Options:

  retain::
    When either `mtvec.MODE` or `mtvec.BASE` is illegal, `mtvec` will retain its current value

  custom::
    When either `mtvec.MODE` or `mtvec.BASE` is illegal, `mtvec` will obtain an unpredictable value

Other values may be added over time once other common behaviors are ide"
MTVEC_MODES,Modes supported by `mtvec.MODE`,NORM_CSR_WARL,high,Referenced in sw_write() of mtvec.BASE,set,"subset of [0, 1]",Sm,ext:Sm,True,4,mtvec,machine.adoc,1255,18,False,False,machine mode cause the `pc` to be set to the address in the BASE field.#,"Options:

  0::
    Direct; All traps set `pc` to `mtvec.BASE`
  1::
    Vectored; Asynchronous interrupts set `pc` to `mtvec.BASE` + 4 x cause.

If only one mode is given, `mtvec.MODE` is assumed to be read-only with that value.
Otherwise, `mtvec.MODE` is read-write."
MUTABLE_MISA_A,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.A,binary,"choices: [True, False]",A,ext:A,False,2,misa,machine.adoc,21,16,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,"When the `A` extensions is supported, indicates whether or not
the extension can be disabled in the `misa.A` bit."
MUTABLE_MISA_B,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.B,binary,"choices: [True, False]",B,ext:B,False,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `B` extension can be disabled with the `misa.B` bit.
MUTABLE_MISA_C,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.C,binary,"choices: [True, False]",C,ext:C,False,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `C` extension can be disabled with the `misa.C` bit.
MUTABLE_MISA_D,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.D,binary,"choices: [True, False]",D,ext:D,False,2,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `D` extension can be disabled with the `misa.D` bit.
MUTABLE_MISA_F,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.F,binary,"choices: [True, False]",F,ext:F,False,2,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `F` extension can be disabled with the `misa.F` bit.
MUTABLE_MISA_H,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.H,binary,"choices: [True, False]",H,ext:H,True,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `H` extension can be disabled with the `misa.H` bit.
MUTABLE_MISA_M,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.G,binary,"choices: [True, False]",M,ext:M,False,2,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `M` extension can be disabled with the `misa.M` bit.
MUTABLE_MISA_Q,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.Q,binary,"choices: [True, False]",Q,ext:Q,False,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `Q` extension can be disabled with the `misa.Q` bit.
MUTABLE_MISA_S,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.S,binary,"choices: [True, False]",S,ext:S,True,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `S` extension can be disabled with the `misa.S` bit.
MUTABLE_MISA_U,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.U,binary,"choices: [True, False]",U,ext:U,False,1,misa,machine.adoc,21,11,True,False,[#norm:misa_acc]#The `misa` CSR is a *WARL* read-write register# reporting the ISA supported by the hart.,Indicates whether or not the `U` extension can be disabled with the `misa.U` bit.
MUTABLE_MISA_V,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of misa.V,binary,"choices: [True, False]",V,ext:V,False,1,misa,v-st-ext.adoc,5161,14,True,False,[#norm:misa-V_op]#The `misa.v` bit is set for implementations providing `misa` and,Indicates whether or not the `V` extension can be disabled with the `misa.V` bit.
MXLEN,XLEN in machine mode,NORM_DIRECT,high,Well-known architectural parameter 'MXLEN',binary,"choices: [32, 64]",Sm,ext:Sm,True,69,"hcontext, mconfigptr, misa, pmpaddr0, pmpaddr1, pmpaddr10, pmpaddr11, pmpaddr12, pmpaddr13, pmpaddr14, pmpaddr15, pmpaddr16, pmpaddr17, pmpaddr18, pmpaddr19, pmpaddr2, pmpaddr20, pmpaddr21, pmpaddr22, pmpaddr23, pmpaddr24, pmpaddr25, pmpaddr26, pmpaddr27, pmpaddr28, pmpaddr29, pmpaddr3, pmpaddr30, pmpaddr31, pmpaddr32, pmpaddr33, pmpaddr34, pmpaddr35, pmpaddr36, pmpaddr37, pmpaddr38, pmpaddr39, pmpaddr4, pmpaddr40, pmpaddr41, pmpaddr42, pmpaddr43, pmpaddr44, pmpaddr45, pmpaddr46, pmpaddr47, pmpaddr48, pmpaddr49, pmpaddr5, pmpaddr50, pmpaddr51, pmpaddr52, pmpaddr53, pmpaddr54, pmpaddr55, pmpaddr56, pmpaddr57, pmpaddr58, pmpaddr59, pmpaddr6, pmpaddr60, pmpaddr61, pmpaddr62, pmpaddr63, pmpaddr7, pmpaddr8, pmpaddr9, satp, vsatp",machine.adoc,50,12,True,False,[#norm:misa_sz]#The `misa` CSR is MXLEN bits wide.#,"XLEN in machine mode, specified in bits"
M_MODE_ENDIANNESS,Endianness of data in M-mode,NORM_CSR_RW,high,Controls type (RO/RW) of mstatus.MBE,enum,"values: ['little', 'big', 'dynamic']",Sm,ext:Sm,False,4,"mstatus, mstatush",machine.adoc,679,22,True,False,"[#norm:mstatus_mstatush_xbe_warl]#The MBE, SBE, and UBE bits in `mstatus` and `mstatush` are *WARL* fields# that","Options:

[separator=""!""]
!===
h! little  ! M-mode data is always little endian
h! big     ! M-mode data is always big endian
h! dynamic ! M-mode data can be either little or big endian,
             depending on the CSR field `mstatus.MBE`
!==="
NUM_EXTERNAL_GUEST_INTERRUPTS,TODO,NORM_DIRECT,high,Well-known architectural parameter 'NUM_EXTERNAL_GUEST_INTERRUPTS',conditional,2 conditional branches,H,ext:H,False,3,hstatus,hypervisor.adoc,259,9,False,False,"VS-level external interrupts. GEILEN may be zero, in which case VGEIN","Number of supported virtualized guest interrupts

Corresponds to the `GEILEN` parameter in the RVI specs"
NUM_PMP_ENTRIES,TODO,NORM_DIRECT,high,Well-known architectural parameter 'NUM_PMP_ENTRIES',range,[0..64],Smpmp,ext:Smpmp,False,224,"pmpaddr0, pmpaddr1, pmpaddr10, pmpaddr11, pmpaddr12, pmpaddr13, pmpaddr14, pmpaddr15, pmpaddr16, pmpaddr17, pmpaddr18, pmpaddr19, pmpaddr2, pmpaddr20, pmpaddr21, pmpaddr22, pmpaddr23, pmpaddr24, pmpaddr25, pmpaddr26, pmpaddr27, pmpaddr28, pmpaddr29, pmpaddr3, pmpaddr30, pmpaddr31, pmpaddr32, pmpaddr33, pmpaddr34, pmpaddr35, pmpaddr36, pmpaddr37, pmpaddr38, pmpaddr39, pmpaddr4, pmpaddr40, pmpaddr41, pmpaddr42, pmpaddr43, pmpaddr44, pmpaddr45, pmpaddr46, pmpaddr47, pmpaddr48, pmpaddr49, pmpaddr5, pmpaddr50, pmpaddr51, pmpaddr52, pmpaddr53, pmpaddr54, pmpaddr55, pmpaddr56, pmpaddr57, pmpaddr58, pmpaddr59, pmpaddr6, pmpaddr60, pmpaddr61, pmpaddr62, pmpaddr63, pmpaddr7, pmpaddr8, pmpaddr9, pmpcfg0, pmpcfg1, pmpcfg10, pmpcfg11, pmpcfg12, pmpcfg13, pmpcfg14, pmpcfg15, pmpcfg2, pmpcfg3, pmpcfg4, pmpcfg5, pmpcfg6, pmpcfg7, pmpcfg8, pmpcfg9",machine.adoc,668,4,True,False,"Note that, [#norm:mstatus_sum_op_mprv_mpp]#while SUM is ordinarily ignored when not","Number of implemented PMP entries. Can be any value between 0-64, inclusive.

The architecture mandates that the number of implemented PMP registers
must appear to be 0, 16, or 64.

Therefore, pmp registers will behave as follows according to NUN_PMP_ENTRIES:

[separator=""!""]
!===
! NUM_PMP_ENTRIES "
PHYS_ADDR_WIDTH,Number of bits in a physical address,NORM_DIRECT,high,Well-known architectural parameter 'PHYS_ADDR_WIDTH',conditional,2 conditional branches,Sm,ext:Sm,True,128,"pmpaddr0, pmpaddr1, pmpaddr10, pmpaddr11, pmpaddr12, pmpaddr13, pmpaddr14, pmpaddr15, pmpaddr16, pmpaddr17, pmpaddr18, pmpaddr19, pmpaddr2, pmpaddr20, pmpaddr21, pmpaddr22, pmpaddr23, pmpaddr24, pmpaddr25, pmpaddr26, pmpaddr27, pmpaddr28, pmpaddr29, pmpaddr3, pmpaddr30, pmpaddr31, pmpaddr32, pmpaddr33, pmpaddr34, pmpaddr35, pmpaddr36, pmpaddr37, pmpaddr38, pmpaddr39, pmpaddr4, pmpaddr40, pmpaddr41, pmpaddr42, pmpaddr43, pmpaddr44, pmpaddr45, pmpaddr46, pmpaddr47, pmpaddr48, pmpaddr49, pmpaddr5, pmpaddr50, pmpaddr51, pmpaddr52, pmpaddr53, pmpaddr54, pmpaddr55, pmpaddr56, pmpaddr57, pmpaddr58, pmpaddr59, pmpaddr6, pmpaddr60, pmpaddr61, pmpaddr62, pmpaddr63, pmpaddr7, pmpaddr8, pmpaddr9",hypervisor.adoc,1027,3,False,False,<<guest-addr-translation>>.,Implementation-defined size of the physical address space.
PMA_GRANULARITY,log2 of the smallest supported PMA region,NORM_DIRECT,high,Well-known architectural parameter 'PMA_GRANULARITY',range,[2..66],Sm,ext:Sm,False,0,,cmo.adoc,754,3,False,False,"granularity and atomicity, including individual bytes.","Generally, for systems with an MMU, should not be smaller than 12,
as that would preclude caching PMA results in the TLB along with
virtual memory translations"
PMLEN,TODO,NORM_DIRECT,high,Well-known architectural parameter 'PMLEN',value,{'base': 'integer'},"Smmpm, Smnpm, Ssnpm",(ext:Smmpm OR ext:Smnpm OR ext:Ssnpm),False,0,,hypervisor.adoc,807,7,False,False,|00|Pointer masking is disabled (PMLEN = 0),"The number of high-order bits of an address that are masked by the
pointer masking facility."
PMP_GRANULARITY,TODO,NORM_DIRECT,high,Well-known architectural parameter 'PMP_GRANULARITY',range,[2..66],Smpmp,ext:Smpmp,False,160,"pmpaddr0, pmpaddr1, pmpaddr10, pmpaddr11, pmpaddr12, pmpaddr13, pmpaddr14, pmpaddr15, pmpaddr16, pmpaddr17, pmpaddr18, pmpaddr19, pmpaddr2, pmpaddr20, pmpaddr21, pmpaddr22, pmpaddr23, pmpaddr24, pmpaddr25, pmpaddr26, pmpaddr27, pmpaddr28, pmpaddr29, pmpaddr3, pmpaddr30, pmpaddr31, pmpaddr32, pmpaddr33, pmpaddr34, pmpaddr35, pmpaddr36, pmpaddr37, pmpaddr38, pmpaddr39, pmpaddr4, pmpaddr40, pmpaddr41, pmpaddr42, pmpaddr43, pmpaddr44, pmpaddr45, pmpaddr46, pmpaddr47, pmpaddr48, pmpaddr49, pmpaddr5, pmpaddr50, pmpaddr51, pmpaddr52, pmpaddr53, pmpaddr54, pmpaddr55, pmpaddr56, pmpaddr57, pmpaddr58, pmpaddr59, pmpaddr6, pmpaddr60, pmpaddr61, pmpaddr62, pmpaddr63, pmpaddr7, pmpaddr8, pmpaddr9, pmpcfg0, pmpcfg1, pmpcfg10, pmpcfg11, pmpcfg12, pmpcfg13, pmpcfg14, pmpcfg15, pmpcfg2, pmpcfg3, pmpcfg4, pmpcfg5, pmpcfg6, pmpcfg7, pmpcfg8, pmpcfg9",cmo.adoc,754,3,False,False,"granularity and atomicity, including individual bytes.","log2 of the smallest supported PMP region.

Generally, for systems with an MMU, should not be smaller than 12,
as that would preclude caching PMP results in the TLB along with
virtual memory translations

Note that PMP_GRANULARITY is equal to G+2 (not G) as described in
the privileged architecture."
PRECISE_SYNCHRONOUS_EXCEPTIONS,Whether or not all synchronous exceptions are precise.,NORM_DIRECT,high,Trap/report behavior parameter (matches ^PRECISE_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,machine.adoc,1256,4,True,False,"[#norm:mtvec_mode_vectored_op]#When MODE=Vectored, all synchronous exceptions into machine mode cause","If false, any exception not otherwise mandated to precise (e.g., PMP violation)
will cause execution to enter an unpredictable state."
RCID_WIDTH,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of srmcfg.RCID,range,[1..12],Ssqosid,ext:Ssqosid,False,1,srmcfg,supervisor.adoc,2586,8,False,False,The `RCID` and `MCID` configured in the `srmcfg` CSR apply to all privilege,"Number of bits used for the Resource Control ID field (RCID).
Default is 12."
REPORT_CAUSE_IN_MTVAL_ON_LANDING_PAD_SOFTWARE_CHECK,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Zicfilp,ext:Zicfilp,False,0,,hypervisor.adoc,25,10,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","When true, `mtval` is written with the shadow stack cause (code=18) when a SoftwareCheck exception is raised into M-mode due to a landing pad error.

When false, `mtval` is written with 0."
REPORT_CAUSE_IN_MTVAL_ON_SHADOW_STACK_SOFTWARE_CHECK,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Zicfiss,ext:Zicfiss,False,0,,hypervisor.adoc,25,10,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","When true, `mtval` is written with the shadow stack cause (code=3) when a SoftwareCheck exception is raised into M-mode due to a shadow stack pop check instruction.

When false, `mtval` is written with 0."
REPORT_CAUSE_IN_STVAL_ON_LANDING_PAD_SOFTWARE_CHECK,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Zicfilp,ext:Zicfilp,False,0,,supervisor.adoc,707,9,True,False,[[norm:stval]],"When true, `stval` is written with the shadow stack cause (code=18) when a SoftwareCheck exception is raised into S-mode due to a landing pad error.

When false, `stval` is written with 0."
REPORT_CAUSE_IN_STVAL_ON_SHADOW_STACK_SOFTWARE_CHECK,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Zicfiss,ext:Zicfiss,False,0,,supervisor.adoc,707,9,True,False,[[norm:stval]],"When true, `stval` is written with the shadow stack cause (code=3) when a SoftwareCheck exception is raised into S-mode due to a shadow stack pop check instruction.

When false, `stval` is written with 0."
REPORT_CAUSE_IN_VSTVAL_ON_LANDING_PAD_SOFTWARE_CHECK,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Zicfilp,ext:Zicfilp,False,0,,hypervisor.adoc,1364,7,False,False,==== Virtual Supervisor Trap Value (`vstval`) Register,"When true, `vstval` is written with the shadow stack cause (code=18) when a SoftwareCheck exception is raised into VS-mode due to a landing pad error.

When false, `vstval` is written with 0."
REPORT_CAUSE_IN_VSTVAL_ON_SHADOW_STACK_SOFTWARE_CHECK,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Zicfiss,ext:Zicfiss,False,0,,hypervisor.adoc,1364,7,False,False,==== Virtual Supervisor Trap Value (`vstval`) Register,"When true, `vstval` is written with the shadow stack cause (code=3) when a SoftwareCheck exception is raised into VS-mode due to a shadow stack pop check instruction.

When false, `vstval` is written with 0."
REPORT_ENCODING_IN_MTVAL_ON_ILLEGAL_INSTRUCTION,Whether or not `mtval` is written with the encoding of an instruction causing an IllegalInstruction exception,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,machine.adoc,2082,11,False,False,"nonzero value when an illegal-instruction exception occurs, then `mtval`","Options:

  * true:  `mtval` is written with the encoding of an instruction causing an IllegalInstruction exception
  * false: `mtval` is written with 0 when an instruction causes an IllegalInstruction exception."
REPORT_ENCODING_IN_STVAL_ON_ILLEGAL_INSTRUCTION,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,supervisor.adoc,751,11,False,False,"nonzero value when an illegal-instruction exception occurs, then `stval`","When true, `stval` is written with the encoding of an instruction that causes an
`IllegalInstruction` exception.

When false `stval` is written with 0 when an `IllegalInstruction` exception occurs."
REPORT_ENCODING_IN_VSTVAL_ON_ILLEGAL_INSTRUCTION,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,hypervisor.adoc,1364,7,False,False,==== Virtual Supervisor Trap Value (`vstval`) Register,"When true, `vstval` is written with the encoding of an instruction that causes an
`IllegalInstruction` exception.

When false `vstval` is written with 0 when an `IllegalInstruction` exception occurs."
REPORT_ENCODING_IN_VSTVAL_ON_VIRTUAL_INSTRUCTION,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,hypervisor.adoc,1364,8,False,False,==== Virtual Supervisor Trap Value (`vstval`) Register,"When true, `vstval` is written with the encoding of an instruction that causes an
`VirualInstruction` exception.

When false `vstval` is written with 0 when an `VirtualInstruction` exception occurs."
REPORT_GPA_IN_HTVAL_ON_GUEST_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,hypervisor.adoc,917,9,False,False,"When a guest-page-fault trap is taken into HS-mode, `htval` is written","When true, `htval` is written with the Guest Physical Address, shifted right by 2, that
caused a `GuestPageFault` exception.

When false, `htval` is written with 0 when a `GuestPageFault` exception occurs."
REPORT_GPA_IN_TVAL_ON_INSTRUCTION_GUEST_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,2,"htval, mtval2",hypervisor.adoc,2832,8,False,False,"`mtval2` or `htval`. If both conditions are met, the value written to","Whether or not GPA >> 2 is written into htval/mtval2 when an instruction guest page fault occurs.

If false, 0 will be written into htval/mtval2 on an instruction guest page fault."
REPORT_GPA_IN_TVAL_ON_INTERMEDIATE_GUEST_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,2,"htval, mtval2",hypervisor.adoc,2832,8,False,False,"`mtval2` or `htval`. If both conditions are met, the value written to","Whether or not GPA >> 2 is written into htval/mtval2 when a guest page fault occurs while
walking a VS-mode page table.

If false, 0 will be written into htval/mtval2 on an intermediate guest page fault."
REPORT_GPA_IN_TVAL_ON_LOAD_GUEST_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,2,"htval, mtval2",hypervisor.adoc,2832,8,False,False,"`mtval2` or `htval`. If both conditions are met, the value written to","Whether or not GPA >> 2 is written into htval/mtval2 when a load guest page fault occurs.

If false, 0 will be written into htval/mtval2 on a load guest page fault."
REPORT_GPA_IN_TVAL_ON_STORE_AMO_GUEST_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,2,"htval, mtval2",hypervisor.adoc,2832,8,False,False,"`mtval2` or `htval`. If both conditions are met, the value written to","Whether or not GPA >> 2 is written into htval/mtval2 when a store/amo guest page fault occurs.

If false, 0 will be written into htval/mtval2 on a store/amo guest page fault."
REPORT_VA_IN_MTVAL_ON_BREAKPOINT,Whether or not `mtval` is written with the virtual PC of an EBREAK instruction.,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,machine.adoc,2049,17,False,False,"On a breakpoint exception raised by an EBREAK or C.EBREAK instruction, `mtval`","Options:

  * true:  `mtval` is written with the virtual PC of an EBREAK instruction (same information as `mepc`).
  * false: `mtval` is written with 0 on an EBREAK instruction.

Regardless, `mtval` is always written with a virtual PC when an external breakpoint is generated"
REPORT_VA_IN_MTVAL_ON_INSTRUCTION_ACCESS_FAULT,Whether or not `mtval` is written with the virtual address of a fetch causing an access fault,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,hypervisor.adoc,25,10,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","Options:

  * true:  `mtval` is written with the virtual address of a fetch causing the access fault
  * false: `mtval` is written with 0 when a fetch causes an access fault"
REPORT_VA_IN_MTVAL_ON_INSTRUCTION_MISALIGNED,Whether or not `mtval` is written with the virtual address of a misaligned fetch,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,hypervisor.adoc,25,10,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","Options:

  * true:  `mtval` is written with the virtual address of a trapping misaligned fetch
  * false: `mtval` is written with 0 when a misaligned fetch traps"
REPORT_VA_IN_MTVAL_ON_INSTRUCTION_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,hypervisor.adoc,25,10,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","When true, `mtval` is written with the virtual PC of an instructino when fetch causes an
`InstructionPageFault`.

WHen false, `mtval` is written with 0 when an instruction fetch causes an
`InstructionPageFault`."
REPORT_VA_IN_MTVAL_ON_LOAD_ACCESS_FAULT,Whether or not `mtval` is written with the virtual address of a load causing an access fault,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,hypervisor.adoc,25,10,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","Options:

  * true:  `mtval` is written with the virtual address of a load causing the access fault
  * false: `mtval` is written with 0 when a load causes an access fault"
REPORT_VA_IN_MTVAL_ON_LOAD_MISALIGNED,Whether or not `mtval` is written with the virtual address of a misaligned load,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,machine.adoc,2067,11,False,False,If `mtval` is written with a nonzero value when a misaligned load or,"Options:

  * true:  `mtval` is written with the virtual address of a trapping misaligned load.
  * false: `mtval` is written with 0 when a misaligned load traps."
REPORT_VA_IN_MTVAL_ON_LOAD_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,hypervisor.adoc,25,10,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","When true, `mtval` is written with the virtual address of a load when it causes a
`LoadPageFault`.

WHen false, `mtval` is written with 0 when a load causes a `LoadPageFault`."
